iter	Passed	Remaining
0	1	113
1	2	104
2	3	100
3	3	93
4	4	93
5	5	93
6	7	93
7	8	92
8	9	91
9	10	90
10	11	90
11	12	90
12	13	89
13	14	87
14	15	86
15	16	85
16	17	84
17	18	83
18	19	82
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	69	29
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
