iter	Passed	Remaining
0	167	167677
1	169	84641
2	170	56724
3	171	42760
4	172	34385
5	173	28794
6	174	24796
7	175	21822
8	177	19508
9	178	17643
10	179	16116
11	181	14962
12	182	13880
13	183	12954
14	185	12152
15	186	11442
16	187	10820
17	188	10267
18	189	9769
19	190	9330
20	191	8927
21	192	8563
22	193	8228
23	196	7980
24	197	7697
25	198	7432
26	199	7187
27	200	6960
28	201	6749
29	202	6553
30	203	6372
31	204	6198
32	206	6039
33	207	5887
34	208	5741
35	211	5670
36	213	5544
37	214	5420
38	215	5301
39	216	5188
40	217	5082
41	218	4980
42	219	4883
43	220	4790
44	221	4703
45	222	4618
46	223	4538
47	226	4483
48	227	4410
49	228	4336
50	229	4268
51	230	4203
52	231	4137
53	232	4074
54	233	4013
55	234	3955
56	235	3901
57	236	3848
58	237	3795
59	239	3746
60	241	3717
61	242	3670
62	243	3624
63	244	3579
64	245	3536
65	246	3493
66	247	3453
67	249	3414
68	250	3375
69	251	3338
70	252	3303
71	253	3270
72	255	3241
73	256	3208
74	257	3177
75	258	3144
76	259	3112
77	260	3080
78	261	3049
79	262	3019
80	263	2989
81	264	2962
82	265	2929
83	266	2907
84	267	2882
85	268	2856
86	270	2842
87	271	2817
88	272	2794
89	274	2771
90	275	2748
91	276	2725
92	277	2702
93	278	2680
94	279	2659
95	280	2638
96	281	2618
97	282	2598
98	283	2578
99	285	2571
100	286	2552
101	287	2533
102	288	2514
103	289	2497
104	290	2480
105	292	2463
106	293	2446
107	294	2430
108	295	2414
109	296	2398
110	297	2383
111	298	2367
112	300	2361
113	302	2348
114	303	2333
115	304	2318
116	305	2302
117	306	2287
118	307	2273
119	308	2259
120	309	2247
121	310	2233
122	311	2219
123	312	2207
124	315	2205
125	316	2194
126	317	2180
127	318	2167
128	319	2158
129	320	2146
130	321	2133
131	322	2122
132	323	2111
133	325	2100
134	326	2088
135	326	2077
136	328	2066
137	330	2063
138	331	2052
139	332	2041
140	333	2031
141	334	2018
142	335	2008
143	336	1998
144	337	1988
145	338	1979
146	339	1969
147	340	1959
148	341	1950
149	342	1941
150	344	1935
151	345	1927
152	346	1918
153	347	1909
154	348	1900
155	349	1891
156	350	1882
157	351	1874
158	352	1865
159	353	1857
160	354	1847
161	355	1839
162	356	1831
163	357	1823
164	360	1821
165	361	1814
166	362	1805
167	363	1798
168	364	1790
169	365	1782
170	366	1775
171	367	1768
172	368	1761
173	369	1754
174	370	1746
175	371	1739
176	373	1734
177	374	1731
178	375	1724
179	377	1717
180	378	1710
181	379	1704
182	380	1698
183	381	1692
184	382	1686
185	383	1680
186	385	1675
187	386	1671
188	389	1673
189	391	1669
190	393	1666
191	395	1662
192	396	1659
193	398	1654
194	399	1648
195	400	1642
196	401	1636
197	402	1630
198	404	1628
199	405	1621
200	406	1615
201	407	1609
202	408	1604
203	409	1598
204	410	1593
205	411	1587
206	412	1581
207	414	1576
208	415	1571
209	416	1565
210	417	1560
211	419	1559
212	420	1554
213	421	1548
214	422	1543
215	423	1538
216	424	1533
217	425	1527
218	426	1522
219	427	1517
220	428	1512
221	429	1506
222	430	1501
223	432	1496
224	434	1496
225	435	1491
226	436	1486
227	437	1481
228	438	1476
229	439	1471
230	440	1467
231	441	1462
232	442	1457
233	443	1453
234	445	1448
235	446	1444
236	447	1439
237	449	1439
238	450	1435
239	451	1430
240	452	1426
241	453	1421
242	454	1416
243	455	1412
244	456	1407
245	457	1403
246	458	1399
247	459	1394
248	461	1390
249	462	1386
250	464	1386
251	465	1382
252	466	1378
253	467	1374
254	468	1369
255	469	1365
256	470	1361
257	471	1357
258	472	1352
259	473	1349
260	475	1344
261	476	1340
262	477	1336
263	479	1337
264	480	1333
265	481	1329
266	482	1325
267	483	1321
268	484	1317
269	485	1313
270	486	1309
271	487	1305
272	489	1302
273	490	1298
274	491	1295
275	492	1291
276	494	1290
277	495	1287
278	496	1283
279	497	1280
280	498	1276
281	499	1272
282	500	1269
283	501	1265
284	503	1261
285	504	1258
286	505	1255
287	506	1251
288	509	1252
289	510	1249
290	511	1247
291	513	1245
292	515	1242
293	516	1240
294	518	1237
295	519	1235
296	521	1233
297	529	1246
298	531	1246
299	533	1243
300	534	1241
301	536	1238
302	538	1237
303	540	1236
304	543	1238
305	544	1235
306	546	1232
307	547	1229
308	548	1226
309	549	1224
310	551	1222
311	553	1221
312	555	1219
313	557	1218
314	559	1216
315	561	1215
316	562	1212
317	563	1208
318	564	1205
319	565	1202
320	566	1198
321	570	1200
322	571	1198
323	572	1195
324	574	1193
325	575	1190
326	577	1187
327	578	1185
328	579	1181
329	580	1178
330	582	1176
331	584	1176
332	586	1174
333	588	1172
334	589	1169
335	590	1166
336	591	1162
337	592	1159
338	593	1156
339	594	1154
340	595	1151
341	598	1151
342	600	1149
343	601	1147
344	603	1145
345	604	1142
346	605	1139
347	606	1136
348	607	1133
349	608	1130
350	609	1127
351	610	1124
352	613	1125
353	615	1123
354	617	1121
355	618	1118
356	619	1115
357	620	1113
358	621	1110
359	623	1107
360	624	1104
361	625	1101
362	626	1099
363	628	1098
364	630	1097
365	632	1094
366	633	1091
367	634	1089
368	635	1086
369	636	1083
370	637	1080
371	638	1078
372	639	1075
373	642	1075
374	644	1073
375	645	1071
376	646	1068
377	649	1068
378	650	1065
379	651	1062
380	652	1059
381	653	1056
382	654	1054
383	655	1051
384	659	1053
385	660	1050
386	661	1047
387	662	1045
388	663	1042
389	664	1039
390	666	1037
391	667	1035
392	668	1032
393	669	1030
394	672	1030
395	674	1028
396	676	1027
397	677	1025
398	679	1022
399	680	1020
400	681	1018
401	683	1016
402	685	1015
403	687	1014
404	689	1012
405	690	1010
406	692	1008
407	694	1007
408	695	1005
409	697	1003
410	698	1000
411	699	998
412	703	999
413	705	998
414	706	995
415	707	993
416	709	991
417	711	990
418	712	988
419	714	986
420	716	985
421	718	984
422	720	982
423	721	980
424	722	978
425	724	975
426	725	973
427	726	971
428	728	969
429	731	969
430	733	968
431	735	966
432	736	964
433	737	961
434	738	959
435	740	957
436	741	955
437	743	953
438	744	951
439	747	951
440	748	949
441	750	947
442	751	944
443	752	942
444	754	940
445	755	938
446	757	936
447	758	934
448	761	934
449	762	932
450	764	930
451	765	928
452	766	926
453	768	923
454	769	921
455	770	919
456	772	917
457	773	915
458	775	914
459	778	913
460	780	912
461	782	911
462	784	910
463	786	908
464	787	906
465	788	903
466	790	902
467	792	900
468	793	898
469	795	896
470	796	894
471	797	892
472	799	890
473	800	888
474	802	886
475	803	884
476	806	884
477	807	882
478	809	880
479	810	878
480	811	876
481	813	874
482	814	871
483	815	869
484	817	867
485	819	866
486	821	865
487	823	863
488	824	861
489	826	859
490	827	857
491	828	855
492	829	853
493	831	851
494	832	848
495	833	846
496	834	844
497	836	843
498	838	841
499	839	839
500	840	836
501	841	834
502	842	832
503	843	829
504	844	827
505	845	825
506	846	822
507	847	820
508	848	818
509	849	816
510	851	815
511	852	812
512	854	810
513	855	808
514	856	806
515	857	804
516	858	801
517	859	799
518	860	797
519	861	795
520	862	792
521	863	790
522	864	788
523	866	787
524	867	785
525	868	782
526	869	780
527	870	778
528	871	776
529	872	774
530	873	771
531	875	769
532	876	767
533	877	766
534	879	764
535	882	764
536	884	762
537	886	760
538	887	759
539	888	757
540	889	754
541	890	752
542	891	750
543	893	748
544	895	747
545	896	745
546	897	742
547	898	740
548	899	738
549	900	736
550	901	734
551	902	732
552	903	730
553	905	728
554	906	726
555	907	724
556	909	723
557	910	721
558	911	719
559	912	717
560	913	714
561	914	712
562	915	710
563	916	708
564	917	706
565	918	704
566	919	702
567	920	700
568	921	698
569	924	697
570	925	695
571	926	693
572	927	691
573	928	689
574	929	687
575	930	685
576	931	683
577	933	681
578	934	679
579	935	677
580	937	675
581	939	674
582	940	672
583	941	670
584	943	669
585	944	667
586	945	665
587	946	663
588	947	661
589	948	659
590	949	657
591	950	655
592	952	653
593	954	652
594	955	650
595	956	648
596	957	646
597	958	644
598	960	642
599	961	641
600	962	639
601	964	637
602	965	635
603	966	633
604	968	632
605	970	630
606	971	629
607	972	627
608	973	625
609	974	623
610	975	621
611	976	619
612	978	617
613	979	615
614	980	613
615	981	611
616	983	610
617	984	608
618	985	606
619	987	605
620	988	603
621	989	601
622	990	599
623	991	597
624	992	595
625	993	593
626	994	591
627	996	590
628	998	589
629	999	587
630	1001	585
631	1002	583
632	1003	581
633	1004	579
634	1005	578
635	1006	576
636	1007	574
637	1008	572
638	1009	570
639	1010	568
640	1013	567
641	1016	566
642	1017	564
643	1018	563
644	1020	561
645	1021	559
646	1023	558
647	1024	556
648	1026	554
649	1028	553
650	1029	552
651	1031	550
652	1032	548
653	1033	546
654	1034	545
655	1035	543
656	1036	541
657	1037	539
658	1039	537
659	1040	535
660	1041	534
661	1043	532
662	1045	531
663	1046	529
664	1047	527
665	1048	525
666	1050	524
667	1051	522
668	1052	520
669	1053	518
670	1054	516
671	1055	515
672	1056	513
673	1059	512
674	1060	510
675	1061	508
676	1062	506
677	1063	504
678	1064	503
679	1065	501
680	1066	499
681	1067	497
682	1068	496
683	1069	494
684	1072	493
685	1073	491
686	1074	489
687	1076	488
688	1077	486
689	1078	484
690	1079	482
691	1080	480
692	1081	479
693	1082	477
694	1083	475
695	1084	473
696	1085	471
697	1087	470
698	1088	468
699	1089	467
700	1090	465
701	1091	463
702	1093	461
703	1094	460
704	1095	458
705	1096	456
706	1097	454
707	1098	453
708	1100	451
709	1102	450
710	1103	448
711	1104	446
712	1105	444
713	1106	443
714	1107	441
715	1108	439
716	1109	437
717	1110	436
718	1111	434
719	1112	432
720	1113	431
721	1116	429
722	1117	428
723	1118	426
724	1119	424
725	1120	422
726	1121	421
727	1122	419
728	1123	417
729	1124	415
730	1125	414
731	1127	412
732	1129	411
733	1133	410
734	1134	409
735	1136	407
736	1137	405
737	1138	404
738	1141	403
739	1142	401
740	1143	399
741	1146	398
742	1148	397
743	1149	395
744	1150	393
745	1151	392
746	1152	390
747	1153	388
748	1154	387
749	1155	385
750	1157	383
751	1158	381
752	1159	380
753	1161	378
754	1162	377
755	1163	375
756	1164	373
757	1166	372
758	1167	370
759	1168	368
760	1169	367
761	1170	365
762	1171	363
763	1172	362
764	1173	360
765	1174	358
766	1176	357
767	1177	355
768	1178	354
769	1179	352
770	1180	350
771	1182	349
772	1183	347
773	1184	345
774	1185	344
775	1186	342
776	1187	340
777	1188	339
778	1190	337
779	1191	336
780	1192	334
781	1194	332
782	1195	331
783	1196	329
784	1197	327
785	1198	326
786	1200	324
787	1201	323
788	1202	321
789	1204	320
790	1206	318
791	1207	317
792	1208	315
793	1209	313
794	1210	312
795	1212	310
796	1213	309
797	1214	307
798	1215	305
799	1216	304
800	1217	302
801	1218	300
802	1220	299
803	1222	297
804	1223	296
805	1224	294
806	1225	293
807	1226	291
808	1227	289
809	1228	288
810	1229	286
811	1230	284
812	1231	283
813	1232	281
814	1234	280
815	1236	278
816	1237	277
817	1238	275
818	1239	273
819	1240	272
820	1241	270
821	1242	269
822	1243	267
823	1244	265
824	1245	264
825	1246	262
826	1247	261
827	1250	259
828	1251	258
829	1253	256
830	1254	255
831	1255	253
832	1256	251
833	1257	250
834	1258	248
835	1260	247
836	1260	245
837	1262	243
838	1265	242
839	1267	241
840	1268	239
841	1269	238
842	1270	236
843	1271	235
844	1273	233
845	1274	231
846	1275	230
847	1276	228
848	1277	227
849	1278	225
850	1280	224
851	1281	222
852	1282	221
853	1283	219
854	1284	217
855	1285	216
856	1286	214
857	1287	213
858	1289	211
859	1290	210
860	1291	208
861	1292	206
862	1294	205
863	1295	203
864	1296	202
865	1297	200
866	1298	199
867	1299	197
868	1300	196
869	1302	194
870	1303	193
871	1304	191
872	1305	189
873	1306	188
874	1309	187
875	1310	185
876	1311	183
877	1312	182
878	1313	180
879	1314	179
880	1316	177
881	1317	176
882	1318	174
883	1319	173
884	1320	171
885	1321	169
886	1322	168
887	1325	167
888	1326	165
889	1327	164
890	1328	162
891	1329	160
892	1330	159
893	1331	157
894	1332	156
895	1333	154
896	1334	153
897	1336	151
898	1337	150
899	1339	148
900	1340	147
901	1342	145
902	1343	144
903	1344	142
904	1345	141
905	1346	139
906	1347	138
907	1348	136
908	1349	135
909	1350	133
910	1351	132
911	1354	130
912	1355	129
913	1356	127
914	1358	126
915	1359	124
916	1360	123
917	1361	121
918	1362	120
919	1363	118
920	1364	117
921	1365	115
922	1366	113
923	1367	112
924	1369	111
925	1371	109
926	1372	108
927	1373	106
928	1374	105
929	1375	103
930	1376	102
931	1377	100
932	1378	98
933	1379	97
934	1380	95
935	1381	94
936	1384	93
937	1385	91
938	1386	90
939	1387	88
940	1389	87
941	1390	85
942	1391	84
943	1392	82
944	1393	81
945	1394	79
946	1395	78
947	1396	76
948	1399	75
949	1400	73
950	1401	72
951	1402	70
952	1403	69
953	1404	67
954	1405	66
955	1406	64
956	1407	63
957	1408	61
958	1409	60
959	1410	58
960	1411	57
961	1414	55
962	1415	54
963	1416	52
964	1417	51
965	1418	49
966	1419	48
967	1420	46
968	1421	45
969	1422	43
970	1423	42
971	1424	41
972	1425	39
973	1426	38
974	1429	36
975	1430	35
976	1431	33
977	1432	32
978	1433	30
979	1434	29
980	1435	27
981	1436	26
982	1437	24
983	1438	23
984	1440	21
985	1441	20
986	1444	19
987	1445	17
988	1446	16
989	1447	14
990	1448	13
991	1449	11
992	1450	10
993	1451	8
994	1452	7
995	1453	5
996	1454	4
997	1455	2
998	1456	1
999	1459	0
